S. No.,DISTRICT,STATE,Adult Prevalence,PLHIV Size,New HIV Infections,"Incidence per 1,000 Uninfected Population",Need of Services for EVTH,District Priority
86,Eastern West Khasi Hills,MEGHALAYA,0.207,211,26,0.179,24,Low
87,Aizawl,MIZORAM,4.049,12930,485,1.202,170,High
88,Champhai,MIZORAM,3.464,2102,70,0.897,28,High
89,Hnahthial,MIZORAM,1.664,413,24,0.482,24,High
90,Khawzawl,MIZORAM,2.238,700,24,0.568,24,High
91,Kolasib,MIZORAM,3.666,2672,184,1.993,35,High
92,Lawngtlai,MIZORAM,0.877,944,37,0.278,24,Moderate
93,Lunglei,MIZORAM,1.901,2194,62,0.419,29,High
94,Mamit,MIZORAM,1.811,1368,44,0.454,24,High
95,Saitual,MIZORAM,1.642,723,25,0.446,24,High
96,Serchhip,MIZORAM,2.339,1318,69,0.956,24,High
97,Siaha,MIZORAM,1.912,958,74,1.167,24,High
98,Dimapur,NAGALAND,3.288,4973,243,1.304,62,High
99,Kiphire,NAGALAND,1.549,1013,33,0.397,24,High
100,Kohima,NAGALAND,1.492,2736,106,0.464,34,High
101,Longleng,NAGALAND,0.627,272,24,0.421,24,Moderate
102,Mokokchung,NAGALAND,0.884,1431,54,0.247,24,Moderate
103,Mon,NAGALAND,0.285,618,24,0.046,24,Low
104,Noklak,NAGALAND,3.069,1583,63,0.961,24,High
105,Peren,NAGALAND,0.998,844,33,0.307,24,Moderate
106,Phek,NAGALAND,1.017,1444,48,0.265,24,High
107,Tuensang,NAGALAND,1.862,1679,44,0.387,24,High
108,Wokha,NAGALAND,1.093,1608,74,0.396,24,High
109,Zunheboto,NAGALAND,0.684,838,26,0.164,24,Moderate
110,Tseminyu,NAGALAND,1.387,790,30,0.425,24,High
111,Niuland,NAGALAND,1.235,465,24,0.26,24,High
112,Chumoukedima,NAGALAND,2.005,2987,117,0.633,37,High
113,Shamator,NAGALAND,1.511,450,24,0.215,24,High
114,Gangtok,SIKKIM,0.154,328,24,0.061,24,Very Low
115,Mangan,SIKKIM,0.075,99,24,0.023,24,Very Low
116,Namchi,SIKKIM,0.075,99,24,0.017,24,Very Low
117,Gyalshing,SIKKIM,0.075,99,24,0.019,24,Very Low
118,Pakyong,SIKKIM,0.075,99,24,0.034,24,Very Low
119,Soreng,SIKKIM,0.075,99,24,0.013,24,Very Low
120,Dhalai,TRIPURA,0.715,2190,272,0.639,24,Moderate
121,Gomati,TRIPURA,0.226,789,116,0.236,24,Low
122,Khowai,TRIPURA,0.407,1040,94,0.256,24,Moderate
123,North TRIPURA,TRIPURA,0.543,1776,115,0.245,24,Moderate
124,Sepahijala,TRIPURA,0.154,596,51,0.093,24,Very Low
125,South TRIPURA,TRIPURA,0.181,677,102,0.205,24,Very Low
126,Unakoti,TRIPURA,0.362,791,78,0.249,24,Low
127,West TRIPURA,TRIPURA,0.407,2912,343,0.332,24,Moderate
